Block 6 (size 2299)
+-------+---------------------------+---------------------------------------------+------------+------------+-----------------------------------------+
|       | handle                    | display_name                                |   fs_count |   fg_count | description                             |
|  9688 | jason.bsky.social         | jason                 |        163 |         52 | the small group theo     |
|  9799 | skoot.bsky.social         | 😴                    |        384 |        523 | every night a bedtim     |
| 11093 | patricia.bsky.social      | Patricia              |        359 |         15 | Hello!www.patriciamo     |
|  9725 | jennijuju.bsky.social     | JenniNotJuju          |        223 |         25 |                          |
| 11096 | danielle.bsky.social      | Danielle Baskin       |        380 |         16 | virtual rituals🌛🕯️🌵🪱   |
|  9715 | courtneylee.bsky.social   | Courtney              |        232 |         40 | Product Designer         |
|  9606 | miles.bsky.social         | Miles                 |        146 |          5 | i care deeply about      |
|  9737 | dig.bsky.social           | dig                   |        123 |         40 | iroh, ipfs, filecoin     |
| 10725 | jack-morrison.bsky.social | Jack Morrison         |        228 |         56 | I care about cache m     |
|  9752 | blaine.bsky.social        | Blaine                |        120 |         24 | Cloud-observer, most     |
|  9663 | burrito.space             | dietrich              |        145 |        119 | the web, browsers, I     |
|  8764 | newmodernscience.com      | Chris Hahn 🍥         |        413 |        651 | Location: Oregon. De     |
|  9683 | behzod.bsky.social        | Behzod                |        154 |         60 | Helping companies bu     |
|  8771 | simontomes.com            | Simon                 |        289 |        195 | CommunityBoss at Min     |
|  9739 | feross.bsky.social        | Feross                |        104 |          7 | 🧙‍♂️ Mad scientist •      |
|  9685 | kwkroeger.bsky.social     | Kurt Kroeger          |        258 |         64 | Just trying to under     |
|  9866 | raywong.bsky.social       | Ray Wong              |        475 |       1416 | Deputy Editor of Tec     |
|  9940 | cassieprmkhtr.com         | Cassie P              |        360 |        413 | Writer, editor, podc     |
|  9796 | alvinreyes.bsky.social    | Alvin Reyes           |        255 |         15 | Chief Architect | En     |
|  9711 | magik.net                 | Magik6k               |        127 |         44 |                          |
| 10739 | armand.bsky.social        | Armand                |        230 |         91 | drugging p53 ✌️https      |
| 10734 | michael.bsky.social       | Michael 🛸            |        219 |        101 | All things product @     |
|  9515 | dankantor.bsky.social     | Dan Kantor            |        370 |       1044 | Building SoundOff. I     |
| 10728 | beth.bsky.social          | Beth                  |        305 |         15 | Storm chaser (🌪️), s      |
|  9727 | jimpick.com               | Jim Pick              |        121 |        119 | Saanich                  |
|  9574 | yuriy.bsky.social         | Yuriy Dybskiy         |        235 |         23 | Building http://join     |
|  9647 | an.bsky.social            | Anam                  |        242 |        118 | A mass of flesh floa     |
|  9828 | jj.bsky.social            | JJ                    |        127 |        123 | Nobody knows im why’     |
|  8709 | dirty.vodka               | joel                  |        168 |         46 | 🚂 I develop software    |
|  9029 | catman.bsky.social        | Chris Catoya          |        435 |        154 | The tail wagging the     |
| 10304 | shayne.bsky.social        | Shayne👩🏻‍💻          |        240 |        151 | heavily online • jou     |
| 10711 | cat.bsky.social           | Cat                   |        235 |          9 |                          |
|  9750 | kevin.bsky.social         | Kevin Kwok            |        101 |         53 | Creator of the infam     |
| 11097 | ratzlaff.bsky.social      | Chris Ratzlaff        |        220 |         42 | Event speaker • Chas     |
| 11105 | arunwadhwa.com            | Dr. Arun Wadhwa       |        329 |        469 | Physician (MBBS/临床医学 |
|  9636 | momack.bsky.social        | Molly                 |        105 |         29 | IPFS, Filecoin, libp     |
|  8765 | yea.bsky.social           | micheal phelps (weed) |        201 |        120 | bsky #1 hoe scarer       |
|  9745 | chadkohalyk.com           | chadkoh               |        276 |        106 | 🇨🇦 in 🇯🇵 Generous wi     |
| 10705 | weisser.bsky.social       | weisser               |        212 |         23 | man about town           |
| 11108 | guzz.bsky.social          | Guzz                  |        392 |        369 | Moments of my daily      |
|  9769 | lucylw.bsky.social        | Lucy Lu Wang          |        103 |         44 | Prof NLP + health in     |
| 10269 | arsh.bsky.social          | Arsh                  |        613 |       4327 | CEO at glasslink.io,     |
|  9768 | lodge.bsky.social         | Lodge                 |        126 |         79 | Chaotic Good             |
|  9814 | harper.bsky.social        | Harper Reed           |         96 |         45 | A normal personHarpe     |
| 10727 | kelsey.bsky.social        | Kelssis               |        211 |         26 | Here bc @daniel 🫠 ma     |
|  9604 | caleb.bsky.social         | Caleb                 |        291 |         10 | Web developer enthus     |
| 10717 | evan.blue                 | Evan Stewart          |        193 |         29 | co-founder, ceo @ ba     |
| 11092 | nicholas.bsky.social      | nick                  |        212 |         29 | donnie yen enthusias     |
| 10324 | mark-caldwell.com         | Mark Caldwell         |        410 |        475 | British Cinematograp     |
|  9587 | maxbittker.bsky.social    | Max                   |        173 |         32 | mammal with hobbies      |
| 10736 | tyler.bsky.social         | Tyler 🌲              |        227 |         16 | Film, code, and infr     |
|  9698 | boop.bsky.social          | hi                    |        143 |         27 |                          |
|  9759 | mzargham.bsky.social      | Zargham               |         99 |         14 | Field Cybernetician;     |
|  9701 | kubuxu.bsky.social        | Kubuxu                |         93 |         16 | Some would say I swi     |
+-------+---------------------------+-----------------------+------------+------------+--------------------------+


Block 1 (size 1692)
+-------+-----------------------------------------------------------------------+---------------------------------+------------+------------+------------------------+
|       | handle                                                                | display_name                    |   fs_count |   fg_count | description            |
|-------+-----------------------------------------------------------------------+---------------------------------+------------+------------+------------------------|
|     4 | visakanv.com                                                          | visa                            |       1311 |        132 | Author of FRIENDLY A   |
|   118 | tszzl.bsky.social                                                     | roon                            |       1137 |         73 |                        |
|   135 | growingdaniel.bsky.social                                             | Daniel                          |       1158 |        217 | I’m asking you to do   |
|    73 | brooke.vibe.camp                                                      | brooke bowman                   |       1073 |        378 | I used a paper teles   |
| 11116 | eigenrobot.bsky.social                                                | springtime for bmo              |       1076 |        140 | hmmm                   |
|  4658 | deepfates.com.deepfates.com.deepfates.com.deepfates.com.deepfates.com | ‏‏friendly neighborhood deepfates‏ |        964 |        252 | not a villain after    |
|   142 | browserdotsys.bsky.social                                             | bowser                          |        867 |        910 | undignified yearning   |
|   115 | mimi10v3.com                                                          | mimi 🤖🐥💖                     |        942 |        778 | bipolar dev in Arlin   |
|     7 | prer.at                                                               | prerat                          |        885 |        205 | social media influen   |
|   105 | chaospri.me                                                           | Chaos                           |        884 |        261 | cognitive arms deale   |
|    69 | qchu.bsky.social                                                      | Your Husband QC                 |        872 |        249 | irrationalist | the    |
|   130 | grimes.bsky.social                                                    | Grimes                          |        987 |         39 | Princess Puck 🧚🏻‍♀️    |
|   110 | tautologer.com                                                        | tautologer                      |        826 |        492 | try tagging @complim   |
|   145 | vividvoid.bsky.social                                                 | Vivid Void                      |        730 |        185 | I believe in everyth   |
|   129 | roon.bsky.social                                                      | roon                            |        868 |         66 | AGI researchoor        |
|  9672 | annagat.bsky.social                                                   | Anna Gát                        |        988 |        224 | Girl with books. I l   |
|   106 | frye.bsky.social                                                      | frye                            |        741 |        188 | just here to have fu   |
|   113 | richy.bsky.social                                                     | Rich                            |        714 |        232 | Senior meme lord dud   |
